"Policy No","Amount","Source System","Type","ID","Currency","PAS Ledger Account No","LOB Code","Country Code","Postal Code","State Province","Territory","Broker Code","Coverage Code","Premium Code","Product Code","Entity","Coverage FK","Policy FK","Transaction Type","Billing Acct No","Payment Method","Transaction ID","State","Coverage ID","Period Type","Period Start","Period End","Split Party Code","Posting Level","Policy ID","ID_1","Created By","Description","Entity Ref No","Entity Ref","Entity Type","Manual Txn Ind","Txn Date","Effective Date","Txn Type","Accounting Date","Export Status","Ledger Txn ID","Entries ID"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1058799916","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418777","DE","","","","","","","","1058798074","qa","","600077404","1058790062","BillingTransaction","","2017-06-19 17:56:35.0","2017-06-19 00:00:00.0","BillingAccount","2017-06-19 00:00:00.0","exported","1058798074","1058799916"
"DESS107000013","415","ManualPayment","BillingLedgerEntry","1059060384","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418822","DE","","","","","","","","1058798104","qa","","600077404","1058790092","BillingTransaction","","2017-08-07 17:56:52.0","2017-08-07 00:00:00.0","BillingAccount","2017-08-07 00:00:00.0","exported","1058798104","1059060384"
"DESS107000013","122.5","RecurringPayment","BillingLedgerEntry","1058823206","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077404","AAAPaymentDetailsEFT","500418826","DE","","","","","","","","1058822065","ipbsys","","600077404","1058820078","BillingTransaction","","2017-08-21 17:56:34.0","2017-08-21 00:00:00.0","BillingAccount","2017-08-21 00:00:00.0","exported","1058822065","1058823206"
"DESS107000013","541.5","RecurringPayment","BillingLedgerEntry","1058823232","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077404","AAAPaymentDetailsEFT","500418851","DE","","","","","","","","1058822076","ipbsys","","600077404","1058820088","BillingTransaction","","2017-09-19 17:57:04.0","2017-09-19 00:00:00.0","BillingAccount","2017-09-19 00:00:00.0","exported","1058822076","1058823232"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1059060493","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418855","DE","","","","","","","","1058798123","qa","","600077404","1058790111","BillingTransaction","","2017-09-19 17:57:24.0","2017-09-19 00:00:00.0","BillingAccount","2017-09-19 00:00:00.0","exported","1058798123","1059060493"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1059060505","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418865","DE","","","","","","","","1058798128","qa","","600077404","1058790116","BillingTransaction","","2017-10-19 17:56:53.0","2017-10-19 00:00:00.0","BillingAccount","2017-10-19 00:00:00.0","exported","1058798128","1059060505"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1059060529","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418881","DE","","","","","","","","1058798135","qa","","600077404","1058790123","BillingTransaction","","2017-11-20 17:57:12.0","2017-11-20 00:00:00.0","BillingAccount","2017-11-20 00:00:00.0","exported","1058798135","1059060529"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1059060547","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418893","DE","","","","","","","","1058798143","qa","","600077404","1058790131","BillingTransaction","","2017-12-19 17:56:54.0","2017-12-19 00:00:00.0","BillingAccount","2017-12-19 00:00:00.0","exported","1058798143","1059060547"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1059060621","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418911","DE","","","","","","","","1058798152","qa","","600077404","1058790140","BillingTransaction","","2018-01-19 17:57:25.0","2018-01-19 00:00:00.0","BillingAccount","2018-01-19 00:00:00.0","exported","1058798152","1059060621"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1059060715","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418924","DE","","","","","","","","1058798162","qa","","600077404","1058790150","BillingTransaction","","2018-02-19 17:56:53.0","2018-02-19 00:00:00.0","BillingAccount","2018-02-19 00:00:00.0","exported","1058798162","1059060715"
"DESS107000013","-541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823415","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077404","","500418965","DE","","","","","","","","1058822139","ipbsys","","600077404","1058820160","BillingTransaction","","2018-03-15 17:57:36.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822139","1058823415"
"DESS107000013","-541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823419","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077404","","500418968","DE","","","","","","","","1058822141","ipbsys","","600077404","1058820163","BillingTransaction","","2018-03-15 17:57:39.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822141","1058823419"
"DESS107000013","522.5","CrossPolicyTransfer","BillingLedgerEntry","1058823423","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077404","PaymentDetailsCash","500418970","DE","","","","","","","","1058822143","ipbsys","","600077404","1058820165","BillingTransaction","","2018-03-15 17:57:41.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822143","1058823423"
"DESS107000013","541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823417","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077404","PaymentDetailsCash","500418966","DE","","","","","","","","1058822140","ipbsys","","600077404","1058820161","BillingTransaction","","2018-03-15 17:57:38.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822140","1058823417"
"DESS107000013","19","CrossPolicyTransfer","BillingLedgerEntry","1058823425","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077404","PaymentDetailsCash","500418970","DE","","","","","","","","1058822143","ipbsys","","600077404","1058820165","BillingTransaction","","2018-03-15 17:57:41.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822143","1058823425"
"DESS107000014","417","ManualPayment","BillingLedgerEntry","1058799317","USD","1001","AUTO","","","","","500001003","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCheque","500418709","DE","","","","","","","","1058798027","qa","","600077405","1058790021","BillingTransaction","","2017-04-19 17:57:21.0","2017-04-19 00:00:00.0","BillingAccount","2017-04-19 00:00:00.0","exported","1058798027","1058799317"
"DESS107000014","541.5","RecurringPayment","BillingLedgerEntry","1058823152","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077405","AAAPaymentDetailsEFT","500418752","DE","","","","","","","","1058822041","ipbsys","","600077405","1058820054","BillingTransaction","","2017-05-19 17:57:17.0","2017-05-19 00:00:00.0","BillingAccount","2017-05-19 00:00:00.0","exported","1058822041","1058823152"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1058799796","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418757","DE","","","","","","","","1058798060","qa","","600077405","1058790048","BillingTransaction","","2017-05-19 17:57:43.0","2017-05-19 00:00:00.0","BillingAccount","2017-05-19 00:00:00.0","exported","1058798060","1058799796"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1058799921","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418779","DE","","","","","","","","1058798076","qa","","600077405","1058790064","BillingTransaction","","2017-06-19 17:56:36.0","2017-06-19 00:00:00.0","BillingAccount","2017-06-19 00:00:00.0","exported","1058798076","1058799921"
"DESS107000014","415","ManualPayment","BillingLedgerEntry","1059060387","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418823","DE","","","","","","","","1058798105","qa","","600077405","1058790093","BillingTransaction","","2017-08-07 17:56:52.0","2017-08-07 00:00:00.0","BillingAccount","2017-08-07 00:00:00.0","exported","1058798105","1059060387"
"DESS107000014","122.5","RecurringPayment","BillingLedgerEntry","1058823214","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077405","AAAPaymentDetailsEFT","500418829","DE","","","","","","","","1058822068","ipbsys","","600077405","1058820082","BillingTransaction","","2017-08-21 17:56:36.0","2017-08-21 00:00:00.0","BillingAccount","2017-08-21 00:00:00.0","exported","1058822068","1058823214"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1059060484","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418848","DE","","","","","","","","1058798119","qa","","600077405","1058790107","BillingTransaction","","2017-09-19 17:56:46.0","2017-09-19 00:00:00.0","BillingAccount","2017-09-19 00:00:00.0","exported","1058798119","1059060484"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1059060499","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418863","DE","","","","","","","","1058798126","qa","","600077405","1058790114","BillingTransaction","","2017-10-19 17:56:38.0","2017-10-19 00:00:00.0","BillingAccount","2017-10-19 00:00:00.0","exported","1058798126","1059060499"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1059060517","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418879","DE","","","","","","","","1058798133","qa","","600077405","1058790121","BillingTransaction","","2017-11-20 17:56:54.0","2017-11-20 00:00:00.0","BillingAccount","2017-11-20 00:00:00.0","exported","1058798133","1059060517"
"DESS107000014","541.5","RecurringPayment","BillingLedgerEntry","1058823265","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077405","AAAPaymentDetailsEFT","500418876","DE","","","","","","","","1058822090","ipbsys","","600077405","1058820103","BillingTransaction","","2017-11-20 17:56:36.0","2017-11-20 00:00:00.0","BillingAccount","2017-11-20 00:00:00.0","exported","1058822090","1058823265"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1059060542","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418891","DE","","","","","","","","1058798141","qa","","600077405","1058790129","BillingTransaction","","2017-12-19 17:56:51.0","2017-12-19 00:00:00.0","BillingAccount","2017-12-19 00:00:00.0","exported","1058798141","1059060542"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1059060614","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418908","DE","","","","","","","","1058798149","qa","","600077405","1058790137","BillingTransaction","","2018-01-19 17:57:05.0","2018-01-19 00:00:00.0","BillingAccount","2018-01-19 00:00:00.0","exported","1058798149","1059060614"
"DESS107000014","541.5","ManualPayment","BillingLedgerEntry","1059060706","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077405","PaymentDetailsCash","500418920","DE","","","","","","","","1058798158","qa","","600077405","1058790146","BillingTransaction","","2018-02-19 17:56:35.0","2018-02-19 00:00:00.0","BillingAccount","2018-02-19 00:00:00.0","exported","1058798158","1059060706"
"DESS107000014","15","CrossPolicyTransfer","BillingLedgerEntry","1058823448","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077405","PaymentDetailsCash","500418973","DE","","","","","","","","1058822147","ipbsys","","600077405","1058820168","BillingTransaction","","2018-03-15 17:57:45.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822147","1058823448"
"DESS107000014","526.5","CrossPolicyTransfer","BillingLedgerEntry","1058823446","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077405","PaymentDetailsCash","500418973","DE","","","","","","","","1058822147","ipbsys","","600077405","1058820168","BillingTransaction","","2018-03-15 17:57:45.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822147","1058823446"
"DESS107000014","-541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823421","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077405","","500418969","DE","","","","","","","","1058822142","ipbsys","","600077405","1058820164","BillingTransaction","","2018-03-15 17:57:40.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822142","1058823421"
"DESS107000014","541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823427","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077405","PaymentDetailsCash","500418971","DE","","","","","","","","1058822144","ipbsys","","600077405","1058820166","BillingTransaction","","2018-03-15 17:57:42.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822144","1058823427"
"DESS107000014","-541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823429","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077405","","500418972","DE","","","","","","","","1058822145","ipbsys","","600077405","1058820167","BillingTransaction","","2018-03-15 17:57:44.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822145","1058823429"
"DESS107000032","417","ManualPayment","BillingLedgerEntry","1059321168","USD","1001","AUTO","","","","","500001003","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419053","DE","","","","","","","","1058798199","qa","","600077428","1058790180","BillingTransaction","","2017-04-19 22:20:22.0","2017-04-19 00:00:00.0","BillingAccount","2017-04-19 00:00:00.0","exported","1058798199","1059321168"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059321714","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419116","DE","","","","","","","","1058798243","qa","","600077428","1058790218","BillingTransaction","","2017-05-19 22:21:55.0","2017-05-19 00:00:00.0","BillingAccount","2017-05-19 00:00:00.0","exported","1058798243","1059321714"
"DESS107000032","541.5","RecurringPayment","BillingLedgerEntry","1058823605","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077428","AAAPaymentDetailsEFT","500419087","DE","","","","","","","","1058822195","ipbsys","","600077428","1058820237","BillingTransaction","","2017-05-19 22:19:27.0","2017-05-19 00:00:00.0","BillingAccount","2017-05-19 00:00:00.0","exported","1058822195","1058823605"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059321867","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419137","DE","","","","","","","","1058798258","qa","","600077428","1058790233","BillingTransaction","","2017-06-19 22:19:51.0","2017-06-19 00:00:00.0","BillingAccount","2017-06-19 00:00:00.0","exported","1058798258","1059321867"
"DESS107000032","415","ManualPayment","BillingLedgerEntry","1059383288","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419178","DE","","","","","","","","1058798286","qa","","600077428","1058790261","BillingTransaction","","2017-08-07 22:19:55.0","2017-08-07 00:00:00.0","BillingAccount","2017-08-07 00:00:00.0","exported","1058798286","1059383288"
"DESS107000032","122.5","RecurringPayment","BillingLedgerEntry","1058823672","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077428","AAAPaymentDetailsEFT","500419190","DE","","","","","","","","1058822223","ipbsys","","600077428","1058820265","BillingTransaction","","2017-08-21 22:21:13.0","2017-08-21 00:00:00.0","BillingAccount","2017-08-21 00:00:00.0","exported","1058822223","1058823672"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059383431","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419202","DE","","","","","","","","1058798304","qa","","600077428","1058790277","BillingTransaction","","2017-09-19 22:19:29.0","2017-09-19 00:00:00.0","BillingAccount","2017-09-19 00:00:00.0","exported","1058798304","1059383431"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059383454","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419227","DE","","","","","","","","1058798313","qa","","600077428","1058790287","BillingTransaction","","2017-10-19 22:20:03.0","2017-10-19 00:00:00.0","BillingAccount","2017-10-19 00:00:00.0","exported","1058798313","1059383454"
"DESS107000032","541.5","RecurringPayment","BillingLedgerEntry","1058823714","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077428","AAAPaymentDetailsEFT","500419220","DE","","","","","","","","1058822242","ipbsys","","600077428","1058820284","BillingTransaction","","2017-10-19 22:19:26.0","2017-10-19 00:00:00.0","BillingAccount","2017-10-19 00:00:00.0","exported","1058822242","1058823714"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059383463","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419235","DE","","","","","","","","1058798317","qa","","600077428","1058790291","BillingTransaction","","2017-11-20 22:19:32.0","2017-11-20 00:00:00.0","BillingAccount","2017-11-20 00:00:00.0","exported","1058798317","1059383463"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059383488","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419249","DE","","","","","","","","1058798324","qa","","600077428","1058790298","BillingTransaction","","2017-12-19 22:19:30.0","2017-12-19 00:00:00.0","BillingAccount","2017-12-19 00:00:00.0","exported","1058798324","1059383488"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059383609","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419269","DE","","","","","","","","1058798334","qa","","600077428","1058790308","BillingTransaction","","2018-01-19 22:20:18.0","2018-01-19 00:00:00.0","BillingAccount","2018-01-19 00:00:00.0","exported","1058798334","1059383609"
"DESS107000032","541.5","ManualPayment","BillingLedgerEntry","1059383745","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077428","PaymentDetailsCash","500419285","DE","","","","","","","","1058798346","qa","","600077428","1058790320","BillingTransaction","","2018-02-19 22:19:32.0","2018-02-19 00:00:00.0","BillingAccount","2018-02-19 00:00:00.0","exported","1058798346","1059383745"
"DESS107000032","-541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823943","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077428","","500419345","DE","","","","","","","","1058822309","ipbsys","","600077428","1058820365","BillingTransaction","","2018-03-15 22:21:03.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822309","1058823943"
"DESS107000032","524.5","CrossPolicyTransfer","BillingLedgerEntry","1058823945","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077428","PaymentDetailsCash","500419346","DE","","","","","","","","1058822310","ipbsys","","600077428","1058820366","BillingTransaction","","2018-03-15 22:21:05.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822310","1058823945"
"DESS107000032","17","CrossPolicyTransfer","BillingLedgerEntry","1058823947","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077428","PaymentDetailsCash","500419346","DE","","","","","","","","1058822310","ipbsys","","600077428","1058820366","BillingTransaction","","2018-03-15 22:21:05.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822310","1058823947"
"DESS107000032","-541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823939","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077428","","500419343","DE","","","","","","","","1058822307","ipbsys","","600077428","1058820363","BillingTransaction","","2018-03-15 22:20:59.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822307","1058823939"
"DESS107000032","541.5","CrossPolicyTransfer","BillingLedgerEntry","1058823941","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","CrossPolicyTransfer","600077428","PaymentDetailsCash","500419344","DE","","","","","","","","1058822308","ipbsys","","600077428","1058820364","BillingTransaction","","2018-03-15 22:21:01.0","2018-03-15 00:00:00.0","BillingAccount","2018-03-15 00:00:00.0","exported","1058822308","1058823941"
"DESS107000040","2765","ManualPayment","BillingLedgerEntry","1059383988","USD","1001","AUTO","","","","","500001003","","","AAA_SS","WUIC","","","ManualPayment","600077440","PaymentDetailsCash","500419375","DE","","","","","","","","1058798365","qa","","600077440","1058790340","BillingTransaction","","2018-04-19 22:20:13.0","2018-04-19 00:00:00.0","BillingAccount","2018-04-19 00:00:00.0","exported","1058798365","1059383988"
"DESS107000041","186.2","ManualPayment","BillingLedgerEntry","1059383889","USD","1001","AUTO","","","","","500001003","","","AAA_SS","WUIC","","","ManualPayment","600077441","PaymentDetailsCash","500419370","DE","","","","","","","","1058798357","qa","","600077441","1058790335","BillingTransaction","","2018-04-19 22:19:52.0","2018-04-19 00:00:00.0","BillingAccount","2018-04-19 00:00:00.0","exported","1058798357","1059383889"
